rays, sec,   rec-ord
18144, 3.3, 0
18159, 6.0, 1
18209, 1.0, 0
18231, 2.7, 0
18251, 1.1, 0
18276, 2.2, 0
18318, 4.9, 0
18337, 2.1, 0
18339, 2.7, 0
18341, 2.6, 1
18343, 2.2, 0
18350, 2.9, 0
18369, 1.1, 0
18385, 1.6, 0
18431, 6.0, 0
18475, 2.4, 0
18521, 1.9, 0
18565, 3.7, 0
18566, 4.0, 0
18573, 5.1, 0
18584, 10.1, 1
18608, 1.8, 0
18617, 1.6, 0
18668, 1.6, 0
18669, 2.7, 0
18690, 1.4, 0
18726, 4.8, 0
18757, 1.7, 0
18763, 1.1, 0
18764, 1.7, 0
18772, 1.4, 0
18777, 1.5, 0
18806, 8.5, 1
18840, 3.9, 0
18875, 2.7, 0
18875, 2.1, 0
18879, 3.6, 0
18900, 3.0, 0
18909, 2.2, 0
18927, 2.7, 0
18957, 1.9, 1
18990, 1.2, 0
19064, 2.8, 1
19094, 4.7, 0
19103, 2.1, 0
19110, 1.3, 0
19116, 1.6, 0
19125, 1.9, 0
19136, 1.5, 0
19141, 4.7, 0
19178, 3.2, 1
19218, 4.9, 0
19256, 2.5, 0
19264, 1.6, 0
19268, 2.6, 0
19271, 2.2, 1
19274, 2.7, 1
19276, 1.8, 0
19313, 5.5, 0
19315, 1.2, 0
19363, 8.6, 0
19396, 5.3, 0
19416, 1.3, 0
19436, 1.8, 0
19504, 2.5, 0
19512, 3.6, 0
19515, 1.4, 0
19529, 6.2, 1
19575, 1.1, 0
19586, 2.0, 0
19589, 4.3, 1
19592, 5.1, 0
19627, 1.1, 0
19630, 5.1, 0
19664, 1.6, 0
19683, 4.5, 0
19750, 2.9, 0
19785, 3.6, 0
19821, 2.6, 0
19822, 6.1, 1
19822, 1.3, 0
19829, 2.5, 0
19844, 2.9, 0
19849, 3.7, 0
19865, 1.4, 0
19879, 3.3, 1
19911, 5.5, 1
19914, 2.6, 0
19915, 2.2, 0
19946, 2.6, 0
19953, 1.4, 0
19976, 1.5, 1
20012, 1.7, 0
20017, 5.1, 1
20021, 5.2, 1
20035, 1.5, 0
20045, 4.8, 0
20045, 3.4, 0
20059, 1.7, 0
20075, 3.1, 0
20090, 1.9, 1
20136, 1.6, 0
20157, 2.6, 0
20169, 3.6, 0
20232, 7.8, 0
20237, 2.8, 0
20256, 2.4, 0
20258, 1.4, 0
20270, 3.5, 0
20279, 2.6, 0
20339, 3.2, 0
20354, 1.0, 0
20365, 1.4, 0
20368, 1.5, 0
20401, 2.6, 1
20484, 1.2, 0
20508, 9.1, 0
20516, 1.4, 0
20525, 1.7, 0
20531, 2.4, 0
20543, 1.7, 0
20551, 1.5, 0
20574, 1.6, 1
20608, 1.2, 0
20614, 4.0, 0
20616, 1.2, 0
20619, 5.4, 0
20659, 3.1, 0
20680, 10.0, 1
20694, 4.4, 1
20701, 2.5, 0
20704, 3.8, 1
20704, 1.2, 0
20742, 6.2, 0
20750, 2.5, 0
20784, 2.7, 0
20812, 1.3, 0
20881, 2.8, 0
20886, 5.8, 0
20961, 7.1, 0
20995, 3.8, 1
21027, 1.2, 1
21067, 5.1, 0
21099, 3.4, 0
21132, 5.8, 1
21135, 1.5, 0
21142, 4.4, 1
21163, 3.1, 1
21188, 2.9, 1
21217, 2.2, 0
21217, 2.2, 0
21225, 2.3, 0
21228, 2.9, 1
21247, 1.9, 0
21261, 1.1, 0
21287, 1.6, 0
21324, 2.7, 0
21336, 2.7, 1
21337, 1.3, 0
21344, 3.2, 1
21349, 8.0, 1
21349, 1.7, 1
21393, 1.4, 0
21510, 1.4, 0
21514, 4.3, 1
21524, 1.1, 0
21533, 1.8, 0
21590, 3.0, 1
21619, 3.9, 0
21631, 3.1, 0
21633, 3.3, 1
21676, 3.1, 0
21694, 1.5, 0
21742, 3.7, 0
21761, 1.7, 0
21812, 3.9, 1
21848, 3.5, 0
21851, 1.2, 0
21954, 1.7, 0
21980, 6.2, 0
21987, 6.8, 1
21994, 4.5, 0
22055, 4.0, 0
22078, 2.9, 0
22090, 4.8, 0
22093, 1.5, 0
22117, 2.9, 0
22124, 2.6, 0
22160, 2.4, 0
22166, 2.7, 0
22219, 2.0, 0
22256, 3.4, 1
22271, 4.6, 0
22281, 1.6, 0
22311, 2.5, 0
22349, 2.7, 0
22376, 4.0, 0
22388, 1.7, 0
22403, 2.1, 0
22413, 2.3, 0
22470, 1.4, 0
22493, 3.5, 0
22516, 3.1, 0
22518, 6.3, 1
22519, 1.5, 0
22553, 3.0, 0
22584, 2.5, 1
22598, 3.3, 0
22660, 2.6, 0
22675, 2.7, 0
22782, 1.9, 0
22787, 4.9, 1
22797, 1.8, 0
22891, 6.9, 0
22903, 2.6, 0
22904, 10.0, 0
22917, 7.4, 0
22941, 2.6, 0
22942, 3.2, 0
22967, 5.8, 1
23012, 9.6, 0
23072, 5.8, 1
23089, 5.1, 0
23098, 2.6, 0
23099, 8.7, 0
23105, 6.1, 1
23162, 1.1, 0
23183, 2.5, 0
23239, 2.1, 1
23272, 2.1, 0
23288, 1.6, 0
23308, 4.6, 0
23316, 3.0, 1
23339, 2.0, 0
23340, 2.0, 0
23356, 4.3, 0
23379, 8.9, 1
23409, 5.9, 0
23419, 2.8, 0
23433, 10.7, 1
23468, 2.5, 0
23493, 2.5, 0
23530, 2.0, 1
23541, 2.8, 0
23572, 5.9, 0
23605, 2.4, 0
23612, 1.6, 0
23665, 3.4, 0
23690, 1.4, 1
23710, 3.2, 0
23727, 10.1, 0
23761, 1.2, 0
23784, 1.6, 0
23794, 4.9, 0
23798, 2.1, 0
23805, 1.4, 0
23833, 3.4, 0
23853, 4.9, 1
23857, 2.3, 0
23862, 2.8, 0
23870, 1.6, 0
23878, 2.8, 0
23880, 2.5, 1
23883, 3.2, 1
23910, 1.9, 0
23916, 8.5, 0
23927, 4.6, 0
23967, 1.3, 0
24020, 3.2, 0
24125, 3.7, 1
24189, 5.6, 0
24200, 5.9, 1
24208, 1.7, 0
24211, 4.2, 1
24236, 3.8, 1
24239, 1.7, 0
24252, 1.5, 0
24276, 6.6, 0
24281, 5.2, 0
24370, 2.2, 0
24401, 5.7, 1
24405, 2.0, 0
24426, 1.5, 1
24486, 3.9, 0
24502, 2.7, 1
24502, 6.3, 1
24510, 2.3, 0
24517, 3.3, 0
24517, 2.7, 0
24593, 1.6, 0
24633, 4.7, 0
24663, 1.8, 1
24673, 3.4, 0
24678, 1.6, 0
24691, 2.0, 0
24704, 2.6, 0
24719, 4.2, 1
24745, 3.4, 0
24759, 12.7, 0
24784, 2.6, 0
24792, 2.3, 0
24793, 1.1, 0
24797, 4.0, 0
24806, 5.9, 0
24832, 5.1, 1
24838, 1.7, 0
24851, 3.1, 1
24862, 3.0, 0
24945, 1.3, 0
24963, 5.7, 1
24972, 3.4, 0
24989, 1.6, 0
25060, 5.8, 0
25076, 8.6, 1
25080, 2.6, 1
25081, 12.2, 0
